var13,offset_rank,flights_rank,solar_rank,ev_rank,pbd_rank,recs_rank,local_rank,bulbs_rank,fridge_rank,trees_rank,recycling_rank,pack_rank,ev_ee,ev_pnb,ev_ne,ev_intent,ev_program_interest,fly_ee,fly_pnb,fly_ne,fly_intent,fly_program_interest,offset_ee,offset_pnb,offset_ne,offset_intent,offset_program_interest,pbd_ee,pbd_pnb,pbd_ne,pbd_intent,pbd_program_interest,recs_ee,recs_pnb,recs_ne,recs_intent,recs_program_interest,solar_ee,solar_pnb,solar_ne,solar_intent,solar_program_interest,foodwaste_ee,foodwaste_pnb,foodwaste_ne,foodwaste_intent,foodwaste_program_interest
6069da60-f690-3634-0410-54ef8dcfa472,2,11,4,9,10,3,5,6,7,8,1,12,0.3,0,0.3,0.5,0.9,0.5,0,0.5,0.1,0.9,0.5,1,0.5,0.5,1,0.5,1,0.5,0.1,1,0.7,1,0.9,0,0.9,0.5,1,0.5,0,0.5,0.5,1,0.5,0.5,1
6069db4c-c679-f83c-f22c-febaf4e0b65a,6,7,5,12,11,8,10,1,3,4,2,9,0.2,0,0.3,0,0.1,0.2,0,0.3,0.1,0.1,0.3,1,0.3,0.3,0.3,0.5,0,0.5,0.5,0.4,0.3,1,0.4,0.4,0.4,0.3,0,0.3,0,0.1,0.4,1,0.5,0.5,0.4
6069dc47-37b8-2b3d-d5c9-ca86bd4e9db1,11,4,6,10,12,7,5,8,9,1,2,3,0.3,1,0.3,1,1,0.5,1,0.5,1,1,0.3,1,0.3,1,1,0.5,1,0.5,1,1,0.5,1,0.5,1,1,0.5,1,0.5,1,1,0.7,1,0.7,1,1
6069ddef-4133-e029-ea56-9a3e500d6c2b,9,7,8,11,12,10,4,3,5,6,1,2,0.1,0,0,0.3,0.2,0.4,0,0.1,0,0.1,0,0,0,0,0,0.3,0,0.3,0,0,0.4,0,0.3,0,0.3,0.3,0,0.3,0,0.1,0.5,1,0.5,0.6,0.2
6069e035-f98b-0bd4-56e9-4e4dcf55b568,5,7,6,4,9,2,8,11,10,12,1,3,0.1,0,0.3,0.2,0.3,0,0,0.1,1,0.5,0.1,0,0.2,0,0.1,0.3,0,0.3,0,0,0.1,0,0.2,0.1,0.2,0.3,0,0.4,0,0.2,0.1,1,0.4,0.4,0.3
6069e10c-7708-679b-18f6-03ffac7a7a5e,3,6,9,10,4,8,7,11,2,1,12,5,0.1,1,0.7,0.8,1,0.2,0,0.5,0.1,0.3,0.1,1,0.3,0,0.1,0.3,1,0.3,0.5,0.5,0.6,1,0.4,0.5,0.5,0.2,1,0.8,0,0.5,0.8,1,1,0.9,0.9
6069e162-bd43-9ffd-09ec-ac4533282514,11,10,12,8,9,4,5,1,2,6,3,7,0,1,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0.5,1,0.5,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0.5,1,0.5,0.5,0
6069e17d-289a-11b3-6be3-af1f45d124d8,6,4,11,8,3,12,5,7,9,1,10,2,0.5,1,0.4,0.1,1,0.5,0,0.5,0,0,1,0,0.5,0.1,0.7,0.5,1,0.5,0,0,0.5,1,0.5,0,0.5,0.5,1,0.5,0,0.9,0.4,1,0.3,0,0.5
6069e256-7802-a0ab-7264-002b68b3f934,3,12,6,1,2,7,9,11,10,4,8,5,0.1,1,0.3,0.7,1,0.7,0,0,0,0,0.1,1,0.3,0.5,0.6,0.5,0,0.3,0.1,0.2,0.4,1,0.6,0.3,0.7,0.2,1,0.4,0.2,0.5,0.4,1,0.2,0.4,0.5
6069e412-5641-c05d-8e3a-0206c18d13d4,6,10,9,3,11,7,12,2,8,5,4,1,0.6,1,0.3,0.5,0.5,0.4,1,0.4,0.4,0.5,0.5,1,0.5,0.4,0.5,0.3,0,0.5,0.4,0.3,0.8,1,0.5,0.7,0.9,0.8,1,0.8,0.8,0.9,0.6,1,0.6,1,1
